"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon May 04 10:13:32 UTC 2026","Mon May 04 10:13:32 UTC 2026","213","","Mail API — /api/v1/mail/*","","Create mailbox with valid domain returns 201","","Create mailbox with valid domain returns 201",""
"passed","Mon May 04 10:10:26 UTC 2026","Mon May 04 10:10:28 UTC 2026","2218","","GET /api/v1/users/get/:id","","Get user with malformed ID returns 404 USER_NOT_FOUND","","Get user with malformed ID returns 404 USER_NOT_FOUND",""
"passed","Mon May 04 10:13:35 UTC 2026","Mon May 04 10:13:35 UTC 2026","214","","Mail API — /api/v1/mail/*","","Create mailbox with @ in local_part returns 400 INVALID_LOCAL_PART","","Create mailbox with @ in local_part returns 400 INVALID_LOCAL_PART",""
"passed","Mon May 04 10:13:43 UTC 2026","Mon May 04 10:13:43 UTC 2026","213","","Mail API — /api/v1/mail/*","","Send message to non-existent mailbox returns 404 MAILBOX_NOT_FOUND","","Send message to non-existent mailbox returns 404 MAILBOX_NOT_FOUND",""
"passed","Mon May 04 10:13:34 UTC 2026","Mon May 04 10:13:34 UTC 2026","217","","Mail API — /api/v1/mail/*","","Create mailbox with local_part longer than 30 chars returns 400 INVALID_LOCAL_PART","","Create mailbox with local_part longer than 30 chars returns 400 INVALID_LOCAL_PART",""
"passed","Mon May 04 10:13:33 UTC 2026","Mon May 04 10:13:33 UTC 2026","212","","Mail API — /api/v1/mail/*","","Create mailbox with allowed special chars underscore and hyphen returns 201","","Create mailbox with allowed special chars underscore and hyphen returns 201",""
"passed","Mon May 04 10:08:57 UTC 2026","Mon May 04 10:08:59 UTC 2026","2259","","POST /api/v1/users/create","","Create user with username at minimum length 3 chars returns 201","","Create user with username at minimum length 3 chars returns 201",""
"passed","Mon May 04 10:13:47 UTC 2026","Mon May 04 10:13:47 UTC 2026","216","","OPTIONS /api/v1/users/options","","OPTIONS does not require Authorization header","","OPTIONS does not require Authorization header",""
"passed","Mon May 04 10:14:28 UTC 2026","Mon May 04 10:14:30 UTC 2026","2213","","HEAD /api/v1/users/exists/:id","","HEAD non-existent user returns 404 with X-User-Exists false","","HEAD non-existent user returns 404 with X-User-Exists false",""
"passed","Mon May 04 10:13:59 UTC 2026","Mon May 04 10:14:01 UTC 2026","2488","","PATCH /api/v1/users/patch/:id","","Patch with no auth header returns 401 MISSING_TOKEN","","Patch with no auth header returns 401 MISSING_TOKEN",""
