"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Logout","Logout revoked token — PATCH returns 401","0","0","1","0","0"
"","Mailbox Get","Get mailbox by token returns 200 with all expected fields","0","0","1","0","0"
"","Mailbox Get","Get mailbox with non-existent token returns 404 MAILBOX_NOT_FOUND","0","0","1","0","0"
"","Patch User","Patch with another user token returns 401 INVALID_TOKEN","0","0","1","0","0"
"","Health Check","Health response includes X-Request-ID header auto-generated","0","0","1","0","0"
"","Create User","VALIDATION_ERROR response contains request_id and error details","0","0","1","0","0"
"","Mail Messages","Get message with non-existent message ID returns 404 MESSAGE_NOT_FOUND","0","0","1","0","0"
"","Create User","Create user with multiple interests returns 201","0","0","1","0","0"
"","Login","Login error response contains request_id in body","0","0","1","0","0"
"","Mailbox Create","Create mailbox with local_part at maximum boundary 30 chars returns 201","0","0","1","0","0"
"","Mailbox Create","Create mailbox with local_part at minimum boundary 3 chars returns 201","0","0","1","0","0"
"","Mailbox Create","Create mailbox with custom local_part returns 201 with matching email","0","0","1","0","0"
"","Mail Send","Send message without html_body returns 201","0","0","1","0","0"
"","Login","Login invalidates previous token — old token returns 401 on PATCH","0","0","1","0","0"
"","User Exists","Check exists with malformed ID returns 404 with X-User-Exists false","0","0","1","0","0"
"","Create User","Create user with username at minimum length 3 chars returns 201","0","0","1","0","0"
"","Create User","Create user with first_name shorter than 2 chars returns 400 VALIDATION_ERROR","0","0","1","0","0"
"","Mail Messages","Get message with non-existent mailbox token returns 404 MAILBOX_NOT_FOUND","0","0","1","0","0"
"","Logout","Logout revoked token — DELETE also returns 401","0","0","1","0","0"
"","Create User","access_token format matches usr_{timestamp}_{hex} pattern","0","0","1","0","0"
"","Create User","Create user with invalid gender enum returns 400 VALIDATION_ERROR","0","0","1","0","0"
"","Mailbox Create","Create mailbox with local_part shorter than 3 chars returns 400 INVALID_LOCAL_PART","0","0","1","0","0"
"","Mail Messages","Messages list does not contain html_body field","0","0","1","0","0"
"","Options","OPTIONS does not require Authorization header","0","0","1","0","0"
"","Login","Login with valid credentials returns 200 and token","0","0","1","0","0"
"","Delete User","Delete with no Authorization header returns 401 MISSING_TOKEN","0","0","1","0","0"
"","Mailbox Get","Get mailbox with malformed token returns 404 MAILBOX_NOT_FOUND","0","0","1","0","0"
"","Create User","Create user with password shorter than 8 chars returns 400 VALIDATION_ERROR","0","0","1","0","0"
"","Health Check","Health response echoes provided X-Request-ID header","0","0","1","0","0"
"","Login","Login with non-existent email returns 401 INVALID_CREDENTIALS","0","0","1","0","0"
"","Logout","Logout with no auth header returns 401 MISSING_TOKEN","0","0","1","0","0"
"","User Exists","HEAD non-existent user returns 404 with X-User-Exists false","0","0","1","0","0"
"","Health Check","Health endpoint returns 200 with status ok and timestamp","0","0","1","0","0"
"","Mail Send","Sent message appears in GET messages list","0","0","1","0","0"
"","Update User","PUT update persists changed email in subsequent GET","0","0","1","0","0"
"","Mail Messages","Get messages for new mailbox returns 200 with count 0","0","0","1","0","0"
"","User Exists","HEAD existing user returns 200 with X-User-Exists true","0","0","1","0","0"
"","Update User","PUT update with invalid email returns 400 VALIDATION_ERROR","0","0","1","0","0"
"","Update User","PUT update non-existent user with another user token returns 401 INVALID_TOKEN","0","0","1","0","0"
