"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue May 05 09:35:58 UTC 2026","Tue May 05 09:35:58 UTC 2026","118","","Mailbox Create","","Create mailbox with valid domain returns 201","","Create mailbox with valid domain returns 201",""
"passed","Tue May 05 09:36:46 UTC 2026","Tue May 05 09:36:48 UTC 2026","2124","","User Exists","","GET alias for exists with non-existent user returns 404","","GET alias for exists with non-existent user returns 404",""
"passed","Tue May 05 09:35:55 UTC 2026","Tue May 05 09:35:55 UTC 2026","241","","Mail Send","","Send message returns 201 with full message object","","Send message returns 201 with full message object",""
"passed","Tue May 05 09:32:13 UTC 2026","Tue May 05 09:32:15 UTC 2026","2225","","Create User","","Create user with valid theme returns 201","","Create user with valid theme returns 201",""
"passed","Tue May 05 09:31:33 UTC 2026","Tue May 05 09:31:35 UTC 2026","2234","","Create User","","Create user with all optional fields returns 201","","Create user with all optional fields returns 201",""
"passed","Tue May 05 09:35:59 UTC 2026","Tue May 05 09:35:59 UTC 2026","131","","Mailbox Create","","Create mailbox with @ in local_part returns 400 INVALID_LOCAL_PART","","Create mailbox with @ in local_part returns 400 INVALID_LOCAL_PART",""
"passed","Tue May 05 09:33:19 UTC 2026","Tue May 05 09:33:21 UTC 2026","2130","","List Users","","Users list response does not contain access_token or password","","Users list response does not contain access_token or password",""
"passed","Tue May 05 09:33:17 UTC 2026","Tue May 05 09:33:19 UTC 2026","2134","","List Users","","Get users list with per_page 100 returns 200","","Get users list with per_page 100 returns 200",""
"passed","Tue May 05 09:33:01 UTC 2026","Tue May 05 09:33:04 UTC 2026","2307","","Get User","","Get user by ID returns 200 with expected fields","","Get user by ID returns 200 with expected fields",""
"passed","Tue May 05 09:36:00 UTC 2026","Tue May 05 09:36:00 UTC 2026","122","","Mailbox Delete","","Delete non-existent mailbox returns 404 MAILBOX_NOT_FOUND","","Delete non-existent mailbox returns 404 MAILBOX_NOT_FOUND",""
