"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue May 05 05:22:54 UTC 2026","Tue May 05 05:23:08 UTC 2026","13201","","POST /api/v1/login","","Login error response contains request_id in body","","Login error response contains request_id in body",""
"passed","Tue May 05 05:23:56 UTC 2026","Tue May 05 05:23:58 UTC 2026","2372","","PATCH /api/v1/users/patch/:id","","Patch with empty body returns 200 with no changes","","Patch with empty body returns 200 with no changes",""
"passed","Tue May 05 05:23:47 UTC 2026","Tue May 05 05:23:47 UTC 2026","408","","Mail API — /api/v1/mail/*","","Delete mailbox — GET messages also returns 404","","Delete mailbox — GET messages also returns 404",""
"passed","Tue May 05 05:23:26 UTC 2026","Tue May 05 05:23:28 UTC 2026","2536","","POST /api/v1/users/logout/:id","","Logout revoked token — PUT also returns 401","","Logout revoked token — PUT also returns 401",""
"passed","Tue May 05 05:19:50 UTC 2026","Tue May 05 05:19:52 UTC 2026","2494","","POST /api/v1/users/create","","Create user with duplicate username returns 409 DUPLICATE_USER","","Create user with duplicate username returns 409 DUPLICATE_USER",""
"passed","Tue May 05 05:24:34 UTC 2026","Tue May 05 05:24:37 UTC 2026","2596","","HEAD /api/v1/users/exists/:id","","After delete user exists returns false","","After delete user exists returns false",""
"passed","Tue May 05 05:23:39 UTC 2026","Tue May 05 05:23:39 UTC 2026","153","","Mail API — /api/v1/mail/*","","Create mailbox with local_part at maximum boundary 30 chars returns 201","","Create mailbox with local_part at maximum boundary 30 chars returns 201",""
"passed","Tue May 05 05:21:21 UTC 2026","Tue May 05 05:21:35 UTC 2026","13557","","POST /api/v1/login","","Login invalidates previous token — old token returns 401 on PATCH","","Login invalidates previous token — old token returns 401 on PATCH",""
"passed","Tue May 05 05:19:54 UTC 2026","Tue May 05 05:19:57 UTC 2026","2199","","POST /api/v1/users/create","","Create user with password shorter than 8 chars returns 400 VALIDATION_ERROR","","Create user with password shorter than 8 chars returns 400 VALIDATION_ERROR",""
"passed","Tue May 05 05:20:10 UTC 2026","Tue May 05 05:20:12 UTC 2026","2230","","POST /api/v1/users/create","","Create user with invalid theme enum returns 400 VALIDATION_ERROR","","Create user with invalid theme enum returns 400 VALIDATION_ERROR",""
"passed","Tue May 05 05:23:58 UTC 2026","Tue May 05 05:24:01 UTC 2026","2373","","PATCH /api/v1/users/patch/:id","","Patch with no auth header returns 401 MISSING_TOKEN","","Patch with no auth header returns 401 MISSING_TOKEN",""
"passed","Tue May 05 05:23:42 UTC 2026","Tue May 05 05:23:42 UTC 2026","136","","Mail API — /api/v1/mail/*","","Get messages for non-existent mailbox returns 404 MAILBOX_NOT_FOUND","","Get messages for non-existent mailbox returns 404 MAILBOX_NOT_FOUND",""
