"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon May 04 13:22:22 UTC 2026","Mon May 04 13:22:24 UTC 2026","2210","","PUT /api/v1/users/update/:id","","PUT update with another user token returns 401 INVALID_TOKEN","","PUT update with another user token returns 401 INVALID_TOKEN",""
"broken","Mon May 04 13:18:50 UTC 2026","Mon May 04 13:18:53 UTC 2026","2203","","DELETE /api/v1/users/delete/:id","","Delete same user twice — second delete returns 404","","Delete same user twice — second delete returns 404",""
"passed","Mon May 04 13:18:03 UTC 2026","Mon May 04 13:18:06 UTC 2026","2271","","POST /api/v1/users/create","","Create user with valid theme returns 201","","Create user with valid theme returns 201",""
"broken","Mon May 04 13:18:35 UTC 2026","Mon May 04 13:18:37 UTC 2026","2224","","POST /api/v1/users/create","","Create user with bio longer than 500 chars returns 400 VALIDATION_ERROR","","Create user with bio longer than 500 chars returns 400 VALIDATION_ERROR",""
"broken","Mon May 04 13:19:03 UTC 2026","Mon May 04 13:19:03 UTC 2026","133","","GET /api/v1/health","","Health endpoint returns 200 with status ok and timestamp","","Health endpoint returns 200 with status ok and timestamp",""
"passed","Mon May 04 13:18:59 UTC 2026","Mon May 04 13:19:01 UTC 2026","2145","","GET /api/v1/users/get/:id","","Get user with malformed ID returns 404 USER_NOT_FOUND","","Get user with malformed ID returns 404 USER_NOT_FOUND",""
"passed","Mon May 04 13:17:52 UTC 2026","Mon May 04 13:17:54 UTC 2026","2258","","POST /api/v1/users/create","","Create user with valid employment status returns 201","","Create user with valid employment status returns 201",""
"broken","Mon May 04 13:21:58 UTC 2026","Mon May 04 13:21:58 UTC 2026","1","","Mail API — /api/v1/mail/*","","Get message with non-existent mailbox token returns 404 MAILBOX_NOT_FOUND","","Get message with non-existent mailbox token returns 404 MAILBOX_NOT_FOUND",""
"broken","Mon May 04 13:21:58 UTC 2026","Mon May 04 13:21:58 UTC 2026","133","","Mail API — /api/v1/mail/*","","Send message without html_body returns 201","","Send message without html_body returns 201",""
"broken","Mon May 04 13:21:57 UTC 2026","Mon May 04 13:21:57 UTC 2026","1","","Mail API — /api/v1/mail/*","","Get mailbox with malformed token returns 404 MAILBOX_NOT_FOUND","","Get mailbox with malformed token returns 404 MAILBOX_NOT_FOUND",""
"broken","Mon May 04 13:19:06 UTC 2026","Mon May 04 13:19:08 UTC 2026","2147","","GET /api/v1/users/list","","Get users list with per_page 10 returns at most 10 results","","Get users list with per_page 10 returns at most 10 results",""
"broken","Mon May 04 13:21:56 UTC 2026","Mon May 04 13:21:56 UTC 2026","133","","Mail API — /api/v1/mail/*","","Create mailbox with local_part at minimum boundary 3 chars returns 201","","Create mailbox with local_part at minimum boundary 3 chars returns 201",""
"broken","Mon May 04 13:21:13 UTC 2026","Mon May 04 13:21:26 UTC 2026","13002","","POST /api/v1/login","","Login error response contains request_id in body","","Login error response contains request_id in body",""
"broken","Mon May 04 13:22:07 UTC 2026","Mon May 04 13:22:09 UTC 2026","2201","","PATCH /api/v1/users/patch/:id","","Patch with empty body returns 200 with no changes","","Patch with empty body returns 200 with no changes",""
"broken","Mon May 04 13:22:24 UTC 2026","Mon May 04 13:22:27 UTC 2026","2202","","PUT /api/v1/users/update/:id","","PUT update non-existent user with another user token returns 401 INVALID_TOKEN","","PUT update non-existent user with another user token returns 401 INVALID_TOKEN",""
"broken","Mon May 04 13:22:00 UTC 2026","Mon May 04 13:22:02 UTC 2026","2199","","PATCH /api/v1/users/patch/:id","","Partial update firstName returns 200","","Partial update firstName returns 200",""
"passed","Mon May 04 13:17:58 UTC 2026","Mon May 04 13:18:01 UTC 2026","2217","","POST /api/v1/users/create","","Create user with valid employment status returns 201","","Create user with valid employment status returns 201",""
"passed","Mon May 04 13:17:56 UTC 2026","Mon May 04 13:17:58 UTC 2026","2251","","POST /api/v1/users/create","","Create user with valid employment status returns 201","","Create user with valid employment status returns 201",""
"broken","Mon May 04 13:18:17 UTC 2026","Mon May 04 13:18:19 UTC 2026","2234","","POST /api/v1/users/create","","Create user with password shorter than 8 chars returns 400 VALIDATION_ERROR","","Create user with password shorter than 8 chars returns 400 VALIDATION_ERROR",""
"broken","Mon May 04 13:22:31 UTC 2026","Mon May 04 13:22:33 UTC 2026","2219","","HEAD /api/v1/users/exists/:id","","HEAD existing user returns 200 with X-User-Exists true","","HEAD existing user returns 200 with X-User-Exists true",""
"broken","Mon May 04 13:20:47 UTC 2026","Mon May 04 13:21:00 UTC 2026","13001","","POST /api/v1/login","","Login with password shorter than 8 chars returns 400 VALIDATION_ERROR","","Login with password shorter than 8 chars returns 400 VALIDATION_ERROR",""
"broken","Mon May 04 13:21:41 UTC 2026","Mon May 04 13:21:43 UTC 2026","2217","","POST /api/v1/users/logout/:id","","Logout revoked token — PATCH returns 401","","Logout revoked token — PATCH returns 401",""
"broken","Mon May 04 13:22:00 UTC 2026","Mon May 04 13:22:00 UTC 2026","150","","OPTIONS /api/v1/users/options","","OPTIONS returns 204","","OPTIONS returns 204",""
"broken","Mon May 04 13:21:55 UTC 2026","Mon May 04 13:21:55 UTC 2026","145","","Mail API — /api/v1/mail/*","","Create mailbox with empty body returns 201 with all required fields","","Create mailbox with empty body returns 201 with all required fields",""
"broken","Mon May 04 13:21:57 UTC 2026","Mon May 04 13:21:58 UTC 2026","142","","Mail API — /api/v1/mail/*","","Get message with non-existent message ID returns 404 MESSAGE_NOT_FOUND","","Get message with non-existent message ID returns 404 MESSAGE_NOT_FOUND",""
"broken","Mon May 04 13:17:30 UTC 2026","Mon May 04 13:17:33 UTC 2026","2221","","POST /api/v1/users/create","","Create user metadata fields are correct on creation","","Create user metadata fields are correct on creation",""
"broken","Mon May 04 13:22:04 UTC 2026","Mon May 04 13:22:07 UTC 2026","2201","","PATCH /api/v1/users/patch/:id","","Patch only username returns 200","","Patch only username returns 200",""
"passed","Mon May 04 13:21:59 UTC 2026","Mon May 04 13:21:59 UTC 2026","282","","Mail API — /api/v1/mail/*","","Send message missing required field subject returns 400 VALIDATION_ERROR","","Send message missing required field subject returns 400 VALIDATION_ERROR",""
"broken","Mon May 04 13:21:57 UTC 2026","Mon May 04 13:21:57 UTC 2026","132","","Mail API — /api/v1/mail/*","","Get messages for new mailbox returns 200 with count 0","","Get messages for new mailbox returns 200 with count 0",""
"broken","Mon May 04 13:19:10 UTC 2026","Mon May 04 13:19:12 UTC 2026","2141","","GET /api/v1/users/list","","Users list response does not contain access_token or password","","Users list response does not contain access_token or password",""
"broken","Mon May 04 13:17:38 UTC 2026","Mon May 04 13:17:41 UTC 2026","2381","","POST /api/v1/users/create","","Create user with empty interests array returns 201","","Create user with empty interests array returns 201",""
"broken","Mon May 04 13:17:41 UTC 2026","Mon May 04 13:17:43 UTC 2026","2229","","POST /api/v1/users/create","","Create user with multiple interests returns 201","","Create user with multiple interests returns 201",""
"broken","Mon May 04 13:22:00 UTC 2026","Mon May 04 13:22:00 UTC 2026","136","","OPTIONS /api/v1/users/options","","OPTIONS does not require Authorization header","","OPTIONS does not require Authorization header",""
"passed","Mon May 04 13:21:55 UTC 2026","Mon May 04 13:21:55 UTC 2026","136","","Mail API — /api/v1/mail/*","","Create mailbox with valid domain returns 201","","Create mailbox with valid domain returns 201",""
"broken","Mon May 04 13:21:55 UTC 2026","Mon May 04 13:21:55 UTC 2026","156","","Mail API — /api/v1/mail/*","","Create mailbox with custom local_part returns 201 with matching email","","Create mailbox with custom local_part returns 201 with matching email",""
"broken","Mon May 04 13:21:56 UTC 2026","Mon May 04 13:21:57 UTC 2026","138","","Mail API — /api/v1/mail/*","","Create mailbox with local_part longer than 30 chars returns 400 INVALID_LOCAL_PART","","Create mailbox with local_part longer than 30 chars returns 400 INVALID_LOCAL_PART",""
"broken","Mon May 04 13:21:48 UTC 2026","Mon May 04 13:21:50 UTC 2026","2215","","POST /api/v1/users/logout/:id","","Double logout — second attempt returns 401 INVALID_TOKEN","","Double logout — second attempt returns 401 INVALID_TOKEN",""
"broken","Mon May 04 13:22:40 UTC 2026","Mon May 04 13:22:42 UTC 2026","2002","","HEAD /api/v1/users/exists/:id","","Check exists with malformed ID returns 404 with X-User-Exists false","","Check exists with malformed ID returns 404 with X-User-Exists false",""
"passed","Mon May 04 13:21:55 UTC 2026","Mon May 04 13:21:55 UTC 2026","143","","Mail API — /api/v1/mail/*","","Create mailbox with valid domain returns 201","","Create mailbox with valid domain returns 201",""
"broken","Mon May 04 13:18:15 UTC 2026","Mon May 04 13:18:17 UTC 2026","2222","","POST /api/v1/users/create","","Create user with invalid email returns 400 VALIDATION_ERROR","","Create user with invalid email returns 400 VALIDATION_ERROR",""
"passed","Mon May 04 13:17:47 UTC 2026","Mon May 04 13:17:49 UTC 2026","2259","","POST /api/v1/users/create","","Create user with valid gender enum returns 201","","Create user with valid gender enum returns 201",""
"broken","Mon May 04 13:22:11 UTC 2026","Mon May 04 13:22:13 UTC 2026","2211","","PATCH /api/v1/users/patch/:id","","Patch with another user token returns 401 INVALID_TOKEN","","Patch with another user token returns 401 INVALID_TOKEN",""
"broken","Mon May 04 13:22:35 UTC 2026","Mon May 04 13:22:38 UTC 2026","2277","","HEAD /api/v1/users/exists/:id","","GET alias for exists with existing user returns 200 with X-User-Exists true","","GET alias for exists with existing user returns 200 with X-User-Exists true",""
"passed","Mon May 04 13:18:01 UTC 2026","Mon May 04 13:18:03 UTC 2026","2736","","POST /api/v1/users/create","","Create user with valid employment status returns 201","","Create user with valid employment status returns 201",""
"broken","Mon May 04 13:21:58 UTC 2026","Mon May 04 13:21:58 UTC 2026","138","","Mail API — /api/v1/mail/*","","Cross-mailbox message access returns 404 MESSAGE_NOT_FOUND","","Cross-mailbox message access returns 404 MESSAGE_NOT_FOUND",""
"broken","Mon May 04 13:21:57 UTC 2026","Mon May 04 13:21:57 UTC 2026","133","","Mail API — /api/v1/mail/*","","Create mailbox with uppercase in local_part returns 400 INVALID_LOCAL_PART","","Create mailbox with uppercase in local_part returns 400 INVALID_LOCAL_PART",""
"broken","Mon May 04 13:20:08 UTC 2026","Mon May 04 13:20:21 UTC 2026","13238","","POST /api/v1/login","","Login with wrong password returns 401 INVALID_CREDENTIALS","","Login with wrong password returns 401 INVALID_CREDENTIALS",""
"broken","Mon May 04 13:18:28 UTC 2026","Mon May 04 13:18:30 UTC 2026","2208","","POST /api/v1/users/create","","Create user with invalid gender enum returns 400 VALIDATION_ERROR","","Create user with invalid gender enum returns 400 VALIDATION_ERROR",""
"broken","Mon May 04 13:18:10 UTC 2026","Mon May 04 13:18:12 UTC 2026","2228","","POST /api/v1/users/create","","Create user with duplicate email returns 409 DUPLICATE_USER","","Create user with duplicate email returns 409 DUPLICATE_USER",""
"broken","Mon May 04 13:21:57 UTC 2026","Mon May 04 13:21:57 UTC 2026","1","","Mail API — /api/v1/mail/*","","Get mailbox with non-existent token returns 404 MAILBOX_NOT_FOUND","","Get mailbox with non-existent token returns 404 MAILBOX_NOT_FOUND",""
"broken","Mon May 04 13:21:57 UTC 2026","Mon May 04 13:21:57 UTC 2026","133","","Mail API — /api/v1/mail/*","","Get mailbox by token returns 200 with all expected fields","","Get mailbox by token returns 200 with all expected fields",""
"passed","Mon May 04 13:17:43 UTC 2026","Mon May 04 13:17:45 UTC 2026","2231","","POST /api/v1/users/create","","Create user with valid gender enum returns 201","","Create user with valid gender enum returns 201",""
"broken","Mon May 04 13:21:56 UTC 2026","Mon May 04 13:21:56 UTC 2026","134","","Mail API — /api/v1/mail/*","","Create mailbox with local_part at maximum boundary 30 chars returns 201","","Create mailbox with local_part at maximum boundary 30 chars returns 201",""
"broken","Mon May 04 13:17:35 UTC 2026","Mon May 04 13:17:38 UTC 2026","3278","","POST /api/v1/users/create","","Create user with username at maximum length 30 chars returns 201","","Create user with username at maximum length 30 chars returns 201",""
"passed","Mon May 04 13:21:59 UTC 2026","Mon May 04 13:21:59 UTC 2026","270","","Mail API — /api/v1/mail/*","","Send message missing required field body returns 400 VALIDATION_ERROR","","Send message missing required field body returns 400 VALIDATION_ERROR",""
"broken","Mon May 04 13:22:00 UTC 2026","Mon May 04 13:22:00 UTC 2026","1","","Mail API — /api/v1/mail/*","","Delete non-existent mailbox returns 404 MAILBOX_NOT_FOUND","","Delete non-existent mailbox returns 404 MAILBOX_NOT_FOUND",""
"passed","Mon May 04 13:18:57 UTC 2026","Mon May 04 13:18:59 UTC 2026","2136","","GET /api/v1/users/get/:id","","Get user with malformed ID returns 404 USER_NOT_FOUND","","Get user with malformed ID returns 404 USER_NOT_FOUND",""
"passed","Mon May 04 13:18:06 UTC 2026","Mon May 04 13:18:08 UTC 2026","2282","","POST /api/v1/users/create","","Create user with valid theme returns 201","","Create user with valid theme returns 201",""
"broken","Mon May 04 13:22:18 UTC 2026","Mon May 04 13:22:20 UTC 2026","2243","","PUT /api/v1/users/update/:id","","PUT update persists changed email in subsequent GET","","PUT update persists changed email in subsequent GET",""
"broken","Mon May 04 13:21:26 UTC 2026","Mon May 04 13:21:39 UTC 2026","13002","","POST /api/v1/login","","Login X-Request-ID is echoed in response header","","Login X-Request-ID is echoed in response header",""
"broken","Mon May 04 13:21:57 UTC 2026","Mon May 04 13:21:57 UTC 2026","143","","Mail API — /api/v1/mail/*","","Get message by ID returns 200 with full body and html_body","","Get message by ID returns 200 with full body and html_body",""
"broken","Mon May 04 13:22:20 UTC 2026","Mon May 04 13:22:22 UTC 2026","2247","","PUT /api/v1/users/update/:id","","PUT update with no Authorization header returns 401 MISSING_TOKEN","","PUT update with no Authorization header returns 401 MISSING_TOKEN",""
"passed","Mon May 04 13:19:01 UTC 2026","Mon May 04 13:19:03 UTC 2026","2137","","GET /api/v1/users/get/:id","","Get user with malformed ID returns 404 USER_NOT_FOUND","","Get user with malformed ID returns 404 USER_NOT_FOUND",""
"passed","Mon May 04 13:18:08 UTC 2026","Mon May 04 13:18:10 UTC 2026","2219","","POST /api/v1/users/create","","Create user with valid theme returns 201","","Create user with valid theme returns 201",""
"broken","Mon May 04 13:21:59 UTC 2026","Mon May 04 13:21:59 UTC 2026","137","","Mail API — /api/v1/mail/*","","Delete mailbox — GET messages also returns 404","","Delete mailbox — GET messages also returns 404",""
"broken","Mon May 04 13:21:00 UTC 2026","Mon May 04 13:21:13 UTC 2026","13142","","POST /api/v1/login","","Login with empty body returns 400 VALIDATION_ERROR","","Login with empty body returns 400 VALIDATION_ERROR",""
"broken","Mon May 04 13:19:04 UTC 2026","Mon May 04 13:19:06 UTC 2026","2153","","GET /api/v1/users/list","","Get users list returns 200 with pagination fields","","Get users list returns 200 with pagination fields",""
"broken","Mon May 04 13:21:52 UTC 2026","Mon May 04 13:21:55 UTC 2026","2360","","POST /api/v1/users/logout/:id","","User can re-login after logout and receives new valid token","","User can re-login after logout and receives new valid token",""
"broken","Mon May 04 13:17:26 UTC 2026","Mon May 04 13:17:28 UTC 2026","2453","","POST /api/v1/users/create","","Response body never contains password field","","Response body never contains password field",""
"passed","Mon May 04 13:21:58 UTC 2026","Mon May 04 13:21:59 UTC 2026","271","","Mail API — /api/v1/mail/*","","Send message missing required field from returns 400 VALIDATION_ERROR","","Send message missing required field from returns 400 VALIDATION_ERROR",""
"broken","Mon May 04 13:19:03 UTC 2026","Mon May 04 13:19:04 UTC 2026","133","","GET /api/v1/health","","Health response echoes provided X-Request-ID header","","Health response echoes provided X-Request-ID header",""
"broken","Mon May 04 13:21:58 UTC 2026","Mon May 04 13:21:58 UTC 2026","138","","Mail API — /api/v1/mail/*","","Sent message appears in GET messages list","","Sent message appears in GET messages list",""
"broken","Mon May 04 13:22:27 UTC 2026","Mon May 04 13:22:29 UTC 2026","2340","","PUT /api/v1/users/update/:id","","PUT update with invalid email returns 400 VALIDATION_ERROR","","PUT update with invalid email returns 400 VALIDATION_ERROR",""
"broken","Mon May 04 13:21:46 UTC 2026","Mon May 04 13:21:48 UTC 2026","2220","","POST /api/v1/users/logout/:id","","Logout revoked token — DELETE also returns 401","","Logout revoked token — DELETE also returns 401",""
"broken","Mon May 04 13:17:28 UTC 2026","Mon May 04 13:17:30 UTC 2026","2249","","POST /api/v1/users/create","","access_token format matches usr_{timestamp}_{hex} pattern","","access_token format matches usr_{timestamp}_{hex} pattern",""
"broken","Mon May 04 13:22:42 UTC 2026","Mon May 04 13:22:44 UTC 2026","2223","","HEAD /api/v1/users/exists/:id","","After delete user exists returns false","","After delete user exists returns false",""
