"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue May 05 06:11:22 UTC 2026","Tue May 05 06:11:22 UTC 2026","136","","POST /api/v1/mail/create","","Create mailbox with uppercase in local_part returns 400 INVALID_LOCAL_PART","","Create mailbox with uppercase in local_part returns 400 INVALID_LOCAL_PART",""
"passed","Tue May 05 06:11:13 UTC 2026","Tue May 05 06:11:13 UTC 2026","498","","POST /api/v1/users/logout/:id","","Logout revoked token — PUT also returns 401","","Logout revoked token — PUT also returns 401",""
"passed","Tue May 05 06:11:21 UTC 2026","Tue May 05 06:11:21 UTC 2026","136","","POST /api/v1/mail/create","","Create mailbox with local_part at maximum boundary 30 chars returns 201","","Create mailbox with local_part at maximum boundary 30 chars returns 201",""
"passed","Tue May 05 06:11:01 UTC 2026","Tue May 05 06:11:01 UTC 2026","416","","POST /api/v1/users/create","","Create user with duplicate email returns 409 DUPLICATE_USER","","Create user with duplicate email returns 409 DUPLICATE_USER",""
"failed","Tue May 05 06:11:12 UTC 2026","Tue May 05 06:11:12 UTC 2026","165","","POST /api/v1/login","","Login error response contains request_id in body","","Login error response contains request_id in body",""
"passed","Tue May 05 06:11:32 UTC 2026","Tue May 05 06:11:32 UTC 2026","122","","HEAD /api/v1/users/exists/:id","","Check exists with malformed ID returns 404 with X-User-Exists false","","Check exists with malformed ID returns 404 with X-User-Exists false",""
"passed","Tue May 05 06:11:02 UTC 2026","Tue May 05 06:11:02 UTC 2026","230","","POST /api/v1/users/create","","Create user with password shorter than 8 chars returns 400 VALIDATION_ERROR","","Create user with password shorter than 8 chars returns 400 VALIDATION_ERROR",""
"failed","Tue May 05 06:11:11 UTC 2026","Tue May 05 06:11:12 UTC 2026","132","","POST /api/v1/login","","Login with empty body returns 400 VALIDATION_ERROR","","Login with empty body returns 400 VALIDATION_ERROR",""
"passed","Tue May 05 06:11:04 UTC 2026","Tue May 05 06:11:04 UTC 2026","203","","POST /api/v1/users/create","","Create user with bio longer than 500 chars returns 400 VALIDATION_ERROR","","Create user with bio longer than 500 chars returns 400 VALIDATION_ERROR",""
"passed","Tue May 05 06:11:08 UTC 2026","Tue May 05 06:11:08 UTC 2026","125","","GET /api/v1/users/get/:id","","Get user with malformed ID returns 404 USER_NOT_FOUND","","Get user with malformed ID returns 404 USER_NOT_FOUND",""
"passed","Tue May 05 06:11:00 UTC 2026","Tue May 05 06:11:00 UTC 2026","212","","POST /api/v1/users/create","","Create user with valid theme returns 201","","Create user with valid theme returns 201",""
"passed","Tue May 05 06:11:20 UTC 2026","Tue May 05 06:11:20 UTC 2026","130","","POST /api/v1/mail/create","","Create mailbox with custom local_part returns 201 with matching email","","Create mailbox with custom local_part returns 201 with matching email",""
"passed","Tue May 05 06:11:25 UTC 2026","Tue May 05 06:11:25 UTC 2026","133","","GET /api/v1/mail/:token","","Get mailbox with malformed token returns 404 MAILBOX_NOT_FOUND","","Get mailbox with malformed token returns 404 MAILBOX_NOT_FOUND",""
"passed","Tue May 05 06:11:08 UTC 2026","Tue May 05 06:11:08 UTC 2026","129","","GET /api/v1/health","","Health endpoint returns 200 with status ok and timestamp","","Health endpoint returns 200 with status ok and timestamp",""
"passed","Tue May 05 06:11:08 UTC 2026","Tue May 05 06:11:08 UTC 2026","136","","GET /api/v1/health","","Health response echoes provided X-Request-ID header","","Health response echoes provided X-Request-ID header",""
"passed","Tue May 05 06:11:20 UTC 2026","Tue May 05 06:11:20 UTC 2026","124","","POST /api/v1/mail/create","","Create mailbox with valid domain returns 201","","Create mailbox with valid domain returns 201",""
"passed","Tue May 05 06:11:09 UTC 2026","Tue May 05 06:11:09 UTC 2026","137","","GET /api/v1/users/list","","Users list has Cache-Control no-store header","","Users list has Cache-Control no-store header",""
"failed","Tue May 05 06:11:11 UTC 2026","Tue May 05 06:11:11 UTC 2026","161","","POST /api/v1/login","","Login with password shorter than 8 chars returns 400 VALIDATION_ERROR","","Login with password shorter than 8 chars returns 400 VALIDATION_ERROR",""
"passed","Tue May 05 06:11:13 UTC 2026","Tue May 05 06:11:14 UTC 2026","598","","POST /api/v1/users/logout/:id","","Logout revoked token — DELETE also returns 401","","Logout revoked token — DELETE also returns 401",""
"passed","Tue May 05 06:11:05 UTC 2026","Tue May 05 06:11:06 UTC 2026","340","","DELETE /api/v1/users/delete/:id","","Delete non-existent user with another user token returns 401 INVALID_TOKEN","","Delete non-existent user with another user token returns 401 INVALID_TOKEN",""
"passed","Tue May 05 06:11:20 UTC 2026","Tue May 05 06:11:21 UTC 2026","125","","POST /api/v1/mail/create","","Create mailbox with valid domain returns 201","","Create mailbox with valid domain returns 201",""
