"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun May 10 09:33:08 UTC 2026","Sun May 10 09:33:11 UTC 2026","2306","","Create User","","Create user with valid employment status returns 201","","Create user with valid employment status returns 201",""
"passed","Sun May 10 09:37:47 UTC 2026","Sun May 10 09:37:49 UTC 2026","2133","","User Exists","","HEAD non-existent user returns 404 with X-User-Exists false","","HEAD non-existent user returns 404 with X-User-Exists false",""
"passed","Sun May 10 09:36:58 UTC 2026","Sun May 10 09:36:58 UTC 2026","406","","Mail Messages","","After sending message count is 1","","After sending message count is 1",""
"passed","Sun May 10 09:35:48 UTC 2026","Sun May 10 09:36:01 UTC 2026","13168","","Login","","Login with invalid email format returns 400 VALIDATION_ERROR","","Login with invalid email format returns 400 VALIDATION_ERROR",""
"passed","Sun May 10 09:36:55 UTC 2026","Sun May 10 09:36:56 UTC 2026","477","","Logout","","Logout revoked token — DELETE also returns 401","","Logout revoked token — DELETE also returns 401",""
"passed","Sun May 10 09:37:33 UTC 2026","Sun May 10 09:37:35 UTC 2026","2332","","Update User","","PUT update with no Authorization header returns 401 MISSING_TOKEN","","PUT update with no Authorization header returns 401 MISSING_TOKEN",""
"passed","Sun May 10 09:36:59 UTC 2026","Sun May 10 09:36:59 UTC 2026","135","","Mail Messages","","Get message with non-existent mailbox token returns 404 MAILBOX_NOT_FOUND","","Get message with non-existent mailbox token returns 404 MAILBOX_NOT_FOUND",""
"passed","Sun May 10 09:32:46 UTC 2026","Sun May 10 09:32:48 UTC 2026","2284","","Create User","","Create user with username at minimum length 3 chars returns 201","","Create user with username at minimum length 3 chars returns 201",""
"passed","Sun May 10 09:37:04 UTC 2026","Sun May 10 09:37:04 UTC 2026","137","","Mailbox Create","","Create mailbox with invalid domain returns 400 INVALID_DOMAIN","","Create mailbox with invalid domain returns 400 INVALID_DOMAIN",""
"passed","Sun May 10 09:36:54 UTC 2026","Sun May 10 09:36:54 UTC 2026","361","","Logout","","Logout returns 200 with success true message","","Logout returns 200 with success true message",""
"passed","Sun May 10 09:37:07 UTC 2026","Sun May 10 09:37:07 UTC 2026","135","","Mailbox Get","","Get mailbox with malformed token returns 404 MAILBOX_NOT_FOUND","","Get mailbox with malformed token returns 404 MAILBOX_NOT_FOUND",""
"passed","Sun May 10 09:37:02 UTC 2026","Sun May 10 09:37:02 UTC 2026","140","","Mailbox Create","","Create mailbox with empty body returns 201 with all required fields","","Create mailbox with empty body returns 201 with all required fields",""
"passed","Sun May 10 09:33:20 UTC 2026","Sun May 10 09:33:22 UTC 2026","2254","","Create User","","Create user with valid theme returns 201","","Create user with valid theme returns 201",""
"passed","Sun May 10 09:37:03 UTC 2026","Sun May 10 09:37:03 UTC 2026","135","","Mailbox Create","","Create mailbox with local_part at maximum boundary 30 chars returns 201","","Create mailbox with local_part at maximum boundary 30 chars returns 201",""
"passed","Sun May 10 09:33:38 UTC 2026","Sun May 10 09:33:40 UTC 2026","2199","","Create User","","Create user with first_name shorter than 2 chars returns 400 VALIDATION_ERROR","","Create user with first_name shorter than 2 chars returns 400 VALIDATION_ERROR",""
"passed","Sun May 10 09:37:02 UTC 2026","Sun May 10 09:37:02 UTC 2026","140","","Mail Send","","Send message to non-existent mailbox returns 404 MAILBOX_NOT_FOUND","","Send message to non-existent mailbox returns 404 MAILBOX_NOT_FOUND",""
"passed","Sun May 10 09:34:08 UTC 2026","Sun May 10 09:34:10 UTC 2026","2150","","Get User","","Get user by non-existent ID returns 404 USER_NOT_FOUND","","Get user by non-existent ID returns 404 USER_NOT_FOUND",""
"passed","Sun May 10 09:33:11 UTC 2026","Sun May 10 09:33:13 UTC 2026","2223","","Create User","","Create user with valid employment status returns 201","","Create user with valid employment status returns 201",""
"passed","Sun May 10 09:35:35 UTC 2026","Sun May 10 09:35:48 UTC 2026","13174","","Login","","Login with non-existent email returns 401 INVALID_CREDENTIALS","","Login with non-existent email returns 401 INVALID_CREDENTIALS",""
"passed","Sun May 10 09:37:04 UTC 2026","Sun May 10 09:37:05 UTC 2026","142","","Mailbox Create","","Create mailbox with @ in local_part returns 400 INVALID_LOCAL_PART","","Create mailbox with @ in local_part returns 400 INVALID_LOCAL_PART",""
"passed","Sun May 10 09:37:06 UTC 2026","Sun May 10 09:37:06 UTC 2026","137","","Mailbox Delete","","Delete non-existent mailbox returns 404 MAILBOX_NOT_FOUND","","Delete non-existent mailbox returns 404 MAILBOX_NOT_FOUND",""
"passed","Sun May 10 09:34:41 UTC 2026","Sun May 10 09:34:55 UTC 2026","13421","","Login","","Login response contains all required fields","","Login response contains all required fields",""
"passed","Sun May 10 09:33:44 UTC 2026","Sun May 10 09:33:47 UTC 2026","2232","","Create User","","Create user with invalid theme enum returns 400 VALIDATION_ERROR","","Create user with invalid theme enum returns 400 VALIDATION_ERROR",""
"passed","Sun May 10 09:36:58 UTC 2026","Sun May 10 09:36:58 UTC 2026","135","","Mail Messages","","Get messages for non-existent mailbox returns 404 MAILBOX_NOT_FOUND","","Get messages for non-existent mailbox returns 404 MAILBOX_NOT_FOUND",""
"passed","Sun May 10 09:33:42 UTC 2026","Sun May 10 09:33:44 UTC 2026","2205","","Create User","","Create user with invalid employment status enum returns 400 VALIDATION_ERROR","","Create user with invalid employment status enum returns 400 VALIDATION_ERROR",""
"passed","Sun May 10 09:32:41 UTC 2026","Sun May 10 09:32:44 UTC 2026","2208","","Create User","","access_token format matches usr_{timestamp}_{hex} pattern","","access_token format matches usr_{timestamp}_{hex} pattern",""
"passed","Sun May 10 09:37:14 UTC 2026","Sun May 10 09:37:16 UTC 2026","2314","","Patch User","","Patch only email — other fields remain unchanged","","Patch only email — other fields remain unchanged",""
"passed","Sun May 10 09:37:05 UTC 2026","Sun May 10 09:37:06 UTC 2026","514","","Mailbox Delete","","Delete mailbox with messages — message retrieval also returns 404","","Delete mailbox with messages — message retrieval also returns 404",""
"passed","Sun May 10 09:37:03 UTC 2026","Sun May 10 09:37:03 UTC 2026","131","","Mailbox Create","","Create mailbox with valid domain returns 201","","Create mailbox with valid domain returns 201",""
"passed","Sun May 10 09:36:55 UTC 2026","Sun May 10 09:36:55 UTC 2026","489","","Logout","","Logout revoked token — PUT also returns 401","","Logout revoked token — PUT also returns 401",""
"passed","Sun May 10 09:33:15 UTC 2026","Sun May 10 09:33:17 UTC 2026","2186","","Create User","","Create user with valid theme returns 201","","Create user with valid theme returns 201",""
"passed","Sun May 10 09:34:12 UTC 2026","Sun May 10 09:34:14 UTC 2026","2135","","Get User","","Get user with malformed ID returns 404 USER_NOT_FOUND","","Get user with malformed ID returns 404 USER_NOT_FOUND",""
"passed","Sun May 10 09:37:02 UTC 2026","Sun May 10 09:37:02 UTC 2026","265","","Mail Send","","Send message missing required field body returns 400 VALIDATION_ERROR","","Send message missing required field body returns 400 VALIDATION_ERROR",""
"passed","Sun May 10 09:37:56 UTC 2026","Sun May 10 09:37:58 UTC 2026","2502","","User Exists","","After delete user exists returns false","","After delete user exists returns false",""
"passed","Sun May 10 09:37:30 UTC 2026","Sun May 10 09:37:33 UTC 2026","2468","","Update User","","PUT update persists changed email in subsequent GET","","PUT update persists changed email in subsequent GET",""
"passed","Sun May 10 09:32:44 UTC 2026","Sun May 10 09:32:46 UTC 2026","2204","","Create User","","Create user metadata fields are correct on creation","","Create user metadata fields are correct on creation",""
"passed","Sun May 10 09:37:06 UTC 2026","Sun May 10 09:37:06 UTC 2026","386","","Mailbox Delete","","Delete mailbox twice — second returns 404 MAILBOX_NOT_FOUND","","Delete mailbox twice — second returns 404 MAILBOX_NOT_FOUND",""
"passed","Sun May 10 09:37:49 UTC 2026","Sun May 10 09:37:52 UTC 2026","2318","","User Exists","","GET alias for exists with existing user returns 200 with X-User-Exists true","","GET alias for exists with existing user returns 200 with X-User-Exists true",""
"passed","Sun May 10 09:33:29 UTC 2026","Sun May 10 09:33:31 UTC 2026","2208","","Create User","","Create user with password shorter than 8 chars returns 400 VALIDATION_ERROR","","Create user with password shorter than 8 chars returns 400 VALIDATION_ERROR",""
"passed","Sun May 10 09:37:21 UTC 2026","Sun May 10 09:37:23 UTC 2026","2355","","Patch User","","Patch with no auth header returns 401 MISSING_TOKEN","","Patch with no auth header returns 401 MISSING_TOKEN",""
"passed","Sun May 10 09:32:39 UTC 2026","Sun May 10 09:32:41 UTC 2026","2200","","Create User","","Response body never contains password field","","Response body never contains password field",""
"passed","Sun May 10 09:33:36 UTC 2026","Sun May 10 09:33:38 UTC 2026","2193","","Create User","","Create user missing profile.first_name returns 400 VALIDATION_ERROR","","Create user missing profile.first_name returns 400 VALIDATION_ERROR",""
"passed","Sun May 10 09:34:19 UTC 2026","Sun May 10 09:34:21 UTC 2026","2143","","List Users","","Get users list with per_page 10 returns at most 10 results","","Get users list with per_page 10 returns at most 10 results",""
"passed","Sun May 10 09:36:54 UTC 2026","Sun May 10 09:36:55 UTC 2026","493","","Logout","","Logout revoked token — PATCH returns 401","","Logout revoked token — PATCH returns 401",""
"passed","Sun May 10 09:32:53 UTC 2026","Sun May 10 09:32:55 UTC 2026","2197","","Create User","","Create user with multiple interests returns 201","","Create user with multiple interests returns 201",""
"passed","Sun May 10 09:33:33 UTC 2026","Sun May 10 09:33:36 UTC 2026","2213","","Create User","","Create user with username longer than 30 chars returns 400 VALIDATION_ERROR","","Create user with username longer than 30 chars returns 400 VALIDATION_ERROR",""
"passed","Sun May 10 09:32:57 UTC 2026","Sun May 10 09:32:59 UTC 2026","2310","","Create User","","Create user with valid gender enum returns 201","","Create user with valid gender enum returns 201",""
