"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon May 04 13:02:40 UTC 2026","Mon May 04 13:02:40 UTC 2026","136","","Mail API — /api/v1/mail/*","","Create mailbox with valid domain returns 201","","Create mailbox with valid domain returns 201",""
"broken","Mon May 04 13:02:43 UTC 2026","Mon May 04 13:02:43 UTC 2026","1","","Mail API — /api/v1/mail/*","","Get message with non-existent mailbox token returns 404 MAILBOX_NOT_FOUND","","Get message with non-existent mailbox token returns 404 MAILBOX_NOT_FOUND",""
"broken","Mon May 04 12:59:43 UTC 2026","Mon May 04 12:59:43 UTC 2026","128","","GET /api/v1/health","","Health response echoes provided X-Request-ID header","","Health response echoes provided X-Request-ID header",""
"broken","Mon May 04 12:59:43 UTC 2026","Mon May 04 12:59:45 UTC 2026","2139","","GET /api/v1/users/list","","Get users list returns 200 with pagination fields","","Get users list returns 200 with pagination fields",""
"broken","Mon May 04 12:59:30 UTC 2026","Mon May 04 12:59:32 UTC 2026","2243","","DELETE /api/v1/users/delete/:id","","Delete same user twice — second delete returns 404","","Delete same user twice — second delete returns 404",""
"broken","Mon May 04 12:59:16 UTC 2026","Mon May 04 12:59:18 UTC 2026","2261","","POST /api/v1/users/create","","VALIDATION_ERROR response contains error details","","VALIDATION_ERROR response contains error details",""
"broken","Mon May 04 12:58:14 UTC 2026","Mon May 04 12:58:16 UTC 2026","2325","","POST /api/v1/users/create","","Create user with username at maximum length 30 chars returns 201","","Create user with username at maximum length 30 chars returns 201",""
"broken","Mon May 04 13:02:40 UTC 2026","Mon May 04 13:02:40 UTC 2026","169","","Mail API — /api/v1/mail/*","","Create mailbox with local_part at minimum boundary 3 chars returns 201","","Create mailbox with local_part at minimum boundary 3 chars returns 201",""
"broken","Mon May 04 12:59:54 UTC 2026","Mon May 04 13:00:07 UTC 2026","13298","","POST /api/v1/login","","Login with valid credentials returns 200 and token","","Login with valid credentials returns 200 and token",""
"broken","Mon May 04 12:59:13 UTC 2026","Mon May 04 12:59:16 UTC 2026","2339","","POST /api/v1/users/create","","Create user with bio longer than 500 chars returns 400 VALIDATION_ERROR","","Create user with bio longer than 500 chars returns 400 VALIDATION_ERROR",""
