"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed May 06 10:22:37 UTC 2026","Wed May 06 10:22:39 UTC 2026","2696","","Delete User","","Delete with another user token returns 401 INVALID_TOKEN","","Delete with another user token returns 401 INVALID_TOKEN",""
"passed","Wed May 06 10:22:13 UTC 2026","Wed May 06 10:22:15 UTC 2026","2250","","Create User","","Create user with first_name shorter than 2 chars returns 400 VALIDATION_ERROR","","Create user with first_name shorter than 2 chars returns 400 VALIDATION_ERROR",""
"passed","Wed May 06 10:22:44 UTC 2026","Wed May 06 10:22:47 UTC 2026","2176","","Get User","","Get user by non-existent ID returns 404 USER_NOT_FOUND","","Get user by non-existent ID returns 404 USER_NOT_FOUND",""
"passed","Wed May 06 10:26:02 UTC 2026","Wed May 06 10:26:04 UTC 2026","2423","","Patch User","","Patch with no auth header returns 401 MISSING_TOKEN","","Patch with no auth header returns 401 MISSING_TOKEN",""
"passed","Wed May 06 10:22:51 UTC 2026","Wed May 06 10:22:53 UTC 2026","2173","","Get User","","Get user with malformed ID returns 404 USER_NOT_FOUND","","Get user with malformed ID returns 404 USER_NOT_FOUND",""
"passed","Wed May 06 10:25:50 UTC 2026","Wed May 06 10:25:52 UTC 2026","2172","","Options","","OPTIONS does not require Authorization header","","OPTIONS does not require Authorization header",""
"passed","Wed May 06 10:21:45 UTC 2026","Wed May 06 10:21:47 UTC 2026","2287","","Create User","","Create user with valid employment status returns 201","","Create user with valid employment status returns 201",""
"passed","Wed May 06 10:26:04 UTC 2026","Wed May 06 10:26:07 UTC 2026","2633","","Patch User","","Patch with another user token returns 401 INVALID_TOKEN","","Patch with another user token returns 401 INVALID_TOKEN",""
"passed","Wed May 06 10:25:32 UTC 2026","Wed May 06 10:25:32 UTC 2026","421","","Logout","","Logout returns 200 with success true message","","Logout returns 200 with success true message",""
"passed","Wed May 06 10:25:44 UTC 2026","Wed May 06 10:25:44 UTC 2026","180","","Mailbox Create","","Create mailbox with local_part shorter than 3 chars returns 400 INVALID_LOCAL_PART","","Create mailbox with local_part shorter than 3 chars returns 400 INVALID_LOCAL_PART",""
"passed","Wed May 06 10:25:33 UTC 2026","Wed May 06 10:25:33 UTC 2026","614","","Logout","","Logout revoked token — PUT also returns 401","","Logout revoked token — PUT also returns 401",""
"passed","Wed May 06 10:25:38 UTC 2026","Wed May 06 10:25:38 UTC 2026","181","","Mail Messages","","Get message with non-existent mailbox token returns 404 MAILBOX_NOT_FOUND","","Get message with non-existent mailbox token returns 404 MAILBOX_NOT_FOUND",""
"passed","Wed May 06 10:25:32 UTC 2026","Wed May 06 10:25:33 UTC 2026","590","","Logout","","Logout revoked token — PATCH returns 401","","Logout revoked token — PATCH returns 401",""
"passed","Wed May 06 10:22:53 UTC 2026","Wed May 06 10:22:53 UTC 2026","177","","Health Check","","Health response includes X-Request-ID header auto-generated","","Health response includes X-Request-ID header auto-generated",""
"passed","Wed May 06 10:22:27 UTC 2026","Wed May 06 10:22:29 UTC 2026","2591","","Delete User","","Delete user with valid token returns 204 and subsequent GET returns 404","","Delete user with valid token returns 204 and subsequent GET returns 404",""
"passed","Wed May 06 10:25:45 UTC 2026","Wed May 06 10:25:45 UTC 2026","513","","Mailbox Delete","","Delete mailbox returns 204 and subsequent GET returns 404","","Delete mailbox returns 204 and subsequent GET returns 404",""
"passed","Wed May 06 10:25:43 UTC 2026","Wed May 06 10:25:44 UTC 2026","344","","Mailbox Create","","Create duplicate mailbox local_part and domain returns 409 ADDRESS_TAKEN","","Create duplicate mailbox local_part and domain returns 409 ADDRESS_TAKEN",""
"passed","Wed May 06 10:25:34 UTC 2026","Wed May 06 10:25:34 UTC 2026","584","","Logout","","Double logout — second attempt returns 401 INVALID_TOKEN","","Double logout — second attempt returns 401 INVALID_TOKEN",""
"passed","Wed May 06 10:22:11 UTC 2026","Wed May 06 10:22:13 UTC 2026","2233","","Create User","","Create user missing profile.first_name returns 400 VALIDATION_ERROR","","Create user missing profile.first_name returns 400 VALIDATION_ERROR",""
"passed","Wed May 06 10:25:40 UTC 2026","Wed May 06 10:25:41 UTC 2026","343","","Mail Send","","Send message missing required field from returns 400 VALIDATION_ERROR","","Send message missing required field from returns 400 VALIDATION_ERROR",""
"passed","Wed May 06 10:22:49 UTC 2026","Wed May 06 10:22:51 UTC 2026","2170","","Get User","","Get user with malformed ID returns 404 USER_NOT_FOUND","","Get user with malformed ID returns 404 USER_NOT_FOUND",""
"passed","Wed May 06 10:26:17 UTC 2026","Wed May 06 10:26:20 UTC 2026","2657","","Update User","","PUT update with another user token returns 401 INVALID_TOKEN","","PUT update with another user token returns 401 INVALID_TOKEN",""
"passed","Wed May 06 10:25:44 UTC 2026","Wed May 06 10:25:44 UTC 2026","181","","Mailbox Create","","Create mailbox with invalid domain returns 400 INVALID_DOMAIN","","Create mailbox with invalid domain returns 400 INVALID_DOMAIN",""
