"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon May 11 11:09:34 UTC 2026","Mon May 11 11:09:34 UTC 2026","139","","Mail Send","","Send message to non-existent mailbox returns 404 MAILBOX_NOT_FOUND","","Send message to non-existent mailbox returns 404 MAILBOX_NOT_FOUND",""
"passed","Mon May 11 11:06:19 UTC 2026","Mon May 11 11:06:21 UTC 2026","2234","","Create User","","Create user with bio longer than 500 chars returns 400 VALIDATION_ERROR","","Create user with bio longer than 500 chars returns 400 VALIDATION_ERROR",""
"passed","Mon May 11 11:05:45 UTC 2026","Mon May 11 11:05:47 UTC 2026","2200","","Create User","","Create user with valid employment status returns 201","","Create user with valid employment status returns 201",""
"passed","Mon May 11 11:10:05 UTC 2026","Mon May 11 11:10:07 UTC 2026","2334","","Update User","","PUT update with no Authorization header returns 401 MISSING_TOKEN","","PUT update with no Authorization header returns 401 MISSING_TOKEN",""
"passed","Mon May 11 11:05:25 UTC 2026","Mon May 11 11:05:27 UTC 2026","2200","","Create User","","Create user with multiple interests returns 201","","Create user with multiple interests returns 201",""
"passed","Mon May 11 11:09:35 UTC 2026","Mon May 11 11:09:35 UTC 2026","133","","Mailbox Create","","Create mailbox with local_part at maximum boundary 30 chars returns 201","","Create mailbox with local_part at maximum boundary 30 chars returns 201",""
"passed","Mon May 11 11:05:33 UTC 2026","Mon May 11 11:05:36 UTC 2026","2205","","Create User","","Create user with valid gender enum returns 201","","Create user with valid gender enum returns 201",""
"passed","Mon May 11 11:05:58 UTC 2026","Mon May 11 11:06:01 UTC 2026","2198","","Create User","","Create user with invalid email returns 400 VALIDATION_ERROR","","Create user with invalid email returns 400 VALIDATION_ERROR",""
"passed","Mon May 11 11:05:07 UTC 2026","Mon May 11 11:05:09 UTC 2026","2226","","Create User","","Create user with minimal required fields returns 201 with token","","Create user with minimal required fields returns 201 with token",""
"passed","Mon May 11 11:09:34 UTC 2026","Mon May 11 11:09:34 UTC 2026","135","","Mailbox Create","","Create mailbox with custom local_part returns 201 with matching email","","Create mailbox with custom local_part returns 201 with matching email",""
"passed","Mon May 11 11:10:15 UTC 2026","Mon May 11 11:10:17 UTC 2026","2492","","Update User","","PUT update after logout returns 401 INVALID_TOKEN","","PUT update after logout returns 401 INVALID_TOKEN",""
"passed","Mon May 11 11:06:33 UTC 2026","Mon May 11 11:06:35 UTC 2026","2567","","Delete User","","Delete with another user token returns 401 INVALID_TOKEN","","Delete with another user token returns 401 INVALID_TOKEN",""
"passed","Mon May 11 11:06:53 UTC 2026","Mon May 11 11:06:55 UTC 2026","2141","","List Users","","Get users list with per_page 100 returns 200","","Get users list with per_page 100 returns 200",""
"passed","Mon May 11 11:09:33 UTC 2026","Mon May 11 11:09:33 UTC 2026","410","","Mail Send","","Sent message is retrievable via GET messages ID","","Sent message is retrievable via GET messages ID",""
"passed","Mon May 11 11:08:20 UTC 2026","Mon May 11 11:08:33 UTC 2026","13188","","Login","","Login with invalid email format returns 400 VALIDATION_ERROR","","Login with invalid email format returns 400 VALIDATION_ERROR",""
"passed","Mon May 11 11:10:26 UTC 2026","Mon May 11 11:10:28 UTC 2026","2139","","User Exists","","Check exists with malformed ID returns 404 with X-User-Exists false","","Check exists with malformed ID returns 404 with X-User-Exists false",""
"passed","Mon May 11 11:09:58 UTC 2026","Mon May 11 11:10:00 UTC 2026","2500","","Patch User","","Patch after logout returns 401 INVALID_TOKEN","","Patch after logout returns 401 INVALID_TOKEN",""
"passed","Mon May 11 11:06:44 UTC 2026","Mon May 11 11:06:46 UTC 2026","2131","","Get User","","Get user with malformed ID returns 404 USER_NOT_FOUND","","Get user with malformed ID returns 404 USER_NOT_FOUND",""
"passed","Mon May 11 11:09:32 UTC 2026","Mon May 11 11:09:33 UTC 2026","402","","Mail Send","","Sent message appears in GET messages list","","Sent message appears in GET messages list",""
"passed","Mon May 11 11:09:38 UTC 2026","Mon May 11 11:09:39 UTC 2026","278","","Mailbox Get","","Get mailbox by token returns 200 with all expected fields","","Get mailbox by token returns 200 with all expected fields",""
"passed","Mon May 11 11:06:05 UTC 2026","Mon May 11 11:06:07 UTC 2026","2200","","Create User","","Create user with username longer than 30 chars returns 400 VALIDATION_ERROR","","Create user with username longer than 30 chars returns 400 VALIDATION_ERROR",""
"passed","Mon May 11 11:09:36 UTC 2026","Mon May 11 11:09:37 UTC 2026","400","","Mailbox Delete","","Delete mailbox returns 204 and subsequent GET returns 404","","Delete mailbox returns 204 and subsequent GET returns 404",""
"passed","Mon May 11 11:06:46 UTC 2026","Mon May 11 11:06:49 UTC 2026","2132","","Get User","","Get user with malformed ID returns 404 USER_NOT_FOUND","","Get user with malformed ID returns 404 USER_NOT_FOUND",""
"passed","Mon May 11 11:06:49 UTC 2026","Mon May 11 11:06:49 UTC 2026","142","","Health Check","","Health response echoes provided X-Request-ID header","","Health response echoes provided X-Request-ID header",""
"passed","Mon May 11 11:05:20 UTC 2026","Mon May 11 11:05:22 UTC 2026","2206","","Create User","","Create user with username at maximum length 30 chars returns 201","","Create user with username at maximum length 30 chars returns 201",""
"passed","Mon May 11 11:06:55 UTC 2026","Mon May 11 11:06:58 UTC 2026","2144","","List Users","","Users list response does not contain access_token or password","","Users list response does not contain access_token or password",""
"passed","Mon May 11 11:06:10 UTC 2026","Mon May 11 11:06:12 UTC 2026","2239","","Create User","","Create user with first_name shorter than 2 chars returns 400 VALIDATION_ERROR","","Create user with first_name shorter than 2 chars returns 400 VALIDATION_ERROR",""
"passed","Mon May 11 11:05:29 UTC 2026","Mon May 11 11:05:31 UTC 2026","2211","","Create User","","Create user with valid gender enum returns 201","","Create user with valid gender enum returns 201",""
"passed","Mon May 11 11:06:35 UTC 2026","Mon May 11 11:06:38 UTC 2026","2483","","Delete User","","Delete same user twice — second delete returns 404","","Delete same user twice — second delete returns 404",""
"passed","Mon May 11 11:06:42 UTC 2026","Mon May 11 11:06:44 UTC 2026","2135","","Get User","","Get user with malformed ID returns 404 USER_NOT_FOUND","","Get user with malformed ID returns 404 USER_NOT_FOUND",""
"passed","Mon May 11 11:06:38 UTC 2026","Mon May 11 11:06:40 UTC 2026","2331","","Get User","","Get user by ID returns 200 with expected fields","","Get user by ID returns 200 with expected fields",""
"passed","Mon May 11 11:09:26 UTC 2026","Mon May 11 11:09:27 UTC 2026","519","","Logout","","Logout revoked token — PATCH returns 401","","Logout revoked token — PATCH returns 401",""
"passed","Mon May 11 11:09:37 UTC 2026","Mon May 11 11:09:38 UTC 2026","552","","Mailbox Delete","","Delete mailbox with messages — message retrieval also returns 404","","Delete mailbox with messages — message retrieval also returns 404",""
"passed","Mon May 11 11:05:14 UTC 2026","Mon May 11 11:05:16 UTC 2026","2232","","Create User","","access_token format matches usr_{timestamp}_{hex} pattern","","access_token format matches usr_{timestamp}_{hex} pattern",""
