"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon May 04 13:04:11 UTC 2026","Mon May 04 13:04:14 UTC 2026","2290","","POST /api/v1/users/create","","Create user with empty interests array returns 201","","Create user with empty interests array returns 201",""
"passed","Mon May 04 13:04:34 UTC 2026","Mon May 04 13:04:37 UTC 2026","2313","","POST /api/v1/users/create","","Create user with valid employment status returns 201","","Create user with valid employment status returns 201",""
"passed","Mon May 04 13:08:37 UTC 2026","Mon May 04 13:08:37 UTC 2026","416","","Mail API — /api/v1/mail/*","","Send message missing required field from returns 400 VALIDATION_ERROR","","Send message missing required field from returns 400 VALIDATION_ERROR",""
"passed","Mon May 04 13:04:16 UTC 2026","Mon May 04 13:04:18 UTC 2026","2290","","POST /api/v1/users/create","","Create user with valid gender enum returns 201","","Create user with valid gender enum returns 201",""
"broken","Mon May 04 13:04:52 UTC 2026","Mon May 04 13:04:55 UTC 2026","2273","","POST /api/v1/users/create","","Create user with username shorter than 3 chars returns 400 VALIDATION_ERROR","","Create user with username shorter than 3 chars returns 400 VALIDATION_ERROR",""
"broken","Mon May 04 13:08:53 UTC 2026","Mon May 04 13:08:55 UTC 2026","2264","","PATCH /api/v1/users/patch/:id","","Patch after logout returns 401 INVALID_TOKEN","","Patch after logout returns 401 INVALID_TOKEN",""
"broken","Mon May 04 13:08:35 UTC 2026","Mon May 04 13:08:35 UTC 2026","160","","Mail API — /api/v1/mail/*","","Create mailbox with @ in local_part returns 400 INVALID_LOCAL_PART","","Create mailbox with @ in local_part returns 400 INVALID_LOCAL_PART",""
"broken","Mon May 04 13:08:36 UTC 2026","Mon May 04 13:08:36 UTC 2026","2","","Mail API — /api/v1/mail/*","","Get messages for non-existent mailbox returns 404 MAILBOX_NOT_FOUND","","Get messages for non-existent mailbox returns 404 MAILBOX_NOT_FOUND",""
"broken","Mon May 04 13:05:37 UTC 2026","Mon May 04 13:05:38 UTC 2026","177","","GET /api/v1/health","","Health endpoint returns 200 with status ok and timestamp","","Health endpoint returns 200 with status ok and timestamp",""
"broken","Mon May 04 13:05:13 UTC 2026","Mon May 04 13:05:15 UTC 2026","2235","","DELETE /api/v1/users/delete/:id","","Delete user with valid token returns 204 and subsequent GET returns 404","","Delete user with valid token returns 204 and subsequent GET returns 404",""
"passed","Mon May 04 13:08:33 UTC 2026","Mon May 04 13:08:33 UTC 2026","194","","Mail API — /api/v1/mail/*","","Create mailbox with valid domain returns 201","","Create mailbox with valid domain returns 201",""
"broken","Mon May 04 13:05:04 UTC 2026","Mon May 04 13:05:06 UTC 2026","2249","","POST /api/v1/users/create","","Create user with invalid employment status enum returns 400 VALIDATION_ERROR","","Create user with invalid employment status enum returns 400 VALIDATION_ERROR",""
"broken","Mon May 04 13:05:11 UTC 2026","Mon May 04 13:05:13 UTC 2026","2284","","POST /api/v1/users/create","","VALIDATION_ERROR response contains error details","","VALIDATION_ERROR response contains error details",""
"passed","Mon May 04 13:08:37 UTC 2026","Mon May 04 13:08:38 UTC 2026","324","","Mail API — /api/v1/mail/*","","Send message missing required field subject returns 400 VALIDATION_ERROR","","Send message missing required field subject returns 400 VALIDATION_ERROR",""
"passed","Mon May 04 13:04:23 UTC 2026","Mon May 04 13:04:25 UTC 2026","2289","","POST /api/v1/users/create","","Create user with valid gender enum returns 201","","Create user with valid gender enum returns 201",""
"broken","Mon May 04 13:08:34 UTC 2026","Mon May 04 13:08:34 UTC 2026","206","","Mail API — /api/v1/mail/*","","Create mailbox with local_part shorter than 3 chars returns 400 INVALID_LOCAL_PART","","Create mailbox with local_part shorter than 3 chars returns 400 INVALID_LOCAL_PART",""
"broken","Mon May 04 13:09:11 UTC 2026","Mon May 04 13:09:14 UTC 2026","2350","","HEAD /api/v1/users/exists/:id","","HEAD existing user returns 200 with X-User-Exists true","","HEAD existing user returns 200 with X-User-Exists true",""
"passed","Mon May 04 13:05:31 UTC 2026","Mon May 04 13:05:33 UTC 2026","2204","","GET /api/v1/users/get/:id","","Get user with malformed ID returns 404 USER_NOT_FOUND","","Get user with malformed ID returns 404 USER_NOT_FOUND",""
"broken","Mon May 04 13:04:07 UTC 2026","Mon May 04 13:04:09 UTC 2026","2291","","POST /api/v1/users/create","","Create user with username at minimum length 3 chars returns 201","","Create user with username at minimum length 3 chars returns 201",""
"broken","Mon May 04 13:08:39 UTC 2026","Mon May 04 13:08:39 UTC 2026","2","","Mail API — /api/v1/mail/*","","Delete non-existent mailbox returns 404 MAILBOX_NOT_FOUND","","Delete non-existent mailbox returns 404 MAILBOX_NOT_FOUND",""
"broken","Mon May 04 13:05:15 UTC 2026","Mon May 04 13:05:17 UTC 2026","2276","","DELETE /api/v1/users/delete/:id","","Delete returns 204 with empty body","","Delete returns 204 with empty body",""
"broken","Mon May 04 13:08:39 UTC 2026","Mon May 04 13:08:39 UTC 2026","203","","OPTIONS /api/v1/users/options","","OPTIONS returns 204","","OPTIONS returns 204",""
"broken","Mon May 04 13:08:35 UTC 2026","Mon May 04 13:08:35 UTC 2026","211","","Mail API — /api/v1/mail/*","","Get mailbox by token returns 200 with all expected fields","","Get mailbox by token returns 200 with all expected fields",""
"passed","Mon May 04 13:04:21 UTC 2026","Mon May 04 13:04:23 UTC 2026","2303","","POST /api/v1/users/create","","Create user with valid gender enum returns 201","","Create user with valid gender enum returns 201",""
"broken","Mon May 04 13:04:57 UTC 2026","Mon May 04 13:04:59 UTC 2026","2236","","POST /api/v1/users/create","","Create user missing profile.first_name returns 400 VALIDATION_ERROR","","Create user missing profile.first_name returns 400 VALIDATION_ERROR",""
"broken","Mon May 04 13:08:39 UTC 2026","Mon May 04 13:08:39 UTC 2026","157","","Mail API — /api/v1/mail/*","","Delete mailbox twice — second returns 404 MAILBOX_NOT_FOUND","","Delete mailbox twice — second returns 404 MAILBOX_NOT_FOUND",""
"broken","Mon May 04 13:08:32 UTC 2026","Mon May 04 13:08:32 UTC 2026","212","","Mail API — /api/v1/mail/*","","Create mailbox with custom local_part returns 201 with matching email","","Create mailbox with custom local_part returns 201 with matching email",""
"broken","Mon May 04 13:08:33 UTC 2026","Mon May 04 13:08:33 UTC 2026","175","","Mail API — /api/v1/mail/*","","Create mailbox with local_part at maximum boundary 30 chars returns 201","","Create mailbox with local_part at maximum boundary 30 chars returns 201",""
