"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri May 08 09:24:46 UTC 2026","Fri May 08 09:24:48 UTC 2026","2460","","Delete User","","Delete user with valid token returns 204 and subsequent GET returns 404","","Delete user with valid token returns 204 and subsequent GET returns 404",""
"passed","Fri May 08 09:24:26 UTC 2026","Fri May 08 09:24:28 UTC 2026","2186","","Create User","","Create user with username shorter than 3 chars returns 400 VALIDATION_ERROR","","Create user with username shorter than 3 chars returns 400 VALIDATION_ERROR",""
"passed","Fri May 08 09:24:01 UTC 2026","Fri May 08 09:24:03 UTC 2026","2194","","Create User","","Create user with valid employment status returns 201","","Create user with valid employment status returns 201",""
"passed","Fri May 08 09:26:29 UTC 2026","Fri May 08 09:26:43 UTC 2026","13164","","Login","","Login with non-existent email returns 401 INVALID_CREDENTIALS","","Login with non-existent email returns 401 INVALID_CREDENTIALS",""
"passed","Fri May 08 09:27:51 UTC 2026","Fri May 08 09:27:52 UTC 2026","494","","Logout","","User can re-login after logout and receives new valid token","","User can re-login after logout and receives new valid token",""
"passed","Fri May 08 09:27:57 UTC 2026","Fri May 08 09:27:57 UTC 2026","136","","Mailbox Create","","Create mailbox with valid domain returns 201","","Create mailbox with valid domain returns 201",""
"passed","Fri May 08 09:27:59 UTC 2026","Fri May 08 09:28:00 UTC 2026","523","","Mailbox Delete","","Delete mailbox with messages — message retrieval also returns 404","","Delete mailbox with messages — message retrieval also returns 404",""
"passed","Fri May 08 09:24:17 UTC 2026","Fri May 08 09:24:19 UTC 2026","2431","","Create User","","Create user with duplicate email returns 409 DUPLICATE_USER","","Create user with duplicate email returns 409 DUPLICATE_USER",""
"passed","Fri May 08 09:27:57 UTC 2026","Fri May 08 09:27:57 UTC 2026","129","","Mailbox Create","","Create mailbox with local_part at maximum boundary 30 chars returns 201","","Create mailbox with local_part at maximum boundary 30 chars returns 201",""
"passed","Fri May 08 09:27:58 UTC 2026","Fri May 08 09:27:58 UTC 2026","126","","Mailbox Create","","Create mailbox with local_part longer than 30 chars returns 400 INVALID_LOCAL_PART","","Create mailbox with local_part longer than 30 chars returns 400 INVALID_LOCAL_PART",""
"passed","Fri May 08 09:24:35 UTC 2026","Fri May 08 09:24:37 UTC 2026","2219","","Create User","","Create user with invalid gender enum returns 400 VALIDATION_ERROR","","Create user with invalid gender enum returns 400 VALIDATION_ERROR",""
"passed","Fri May 08 09:27:59 UTC 2026","Fri May 08 09:27:59 UTC 2026","369","","Mailbox Delete","","Delete mailbox — GET messages also returns 404","","Delete mailbox — GET messages also returns 404",""
"passed","Fri May 08 09:23:59 UTC 2026","Fri May 08 09:24:01 UTC 2026","2249","","Create User","","Create user with valid employment status returns 201","","Create user with valid employment status returns 201",""
"passed","Fri May 08 09:25:14 UTC 2026","Fri May 08 09:25:16 UTC 2026","2142","","List Users","","Get users list with per_page 10 returns at most 10 results","","Get users list with per_page 10 returns at most 10 results",""
"passed","Fri May 08 09:24:14 UTC 2026","Fri May 08 09:24:17 UTC 2026","2223","","Create User","","Create user with valid theme returns 201","","Create user with valid theme returns 201",""
"passed","Fri May 08 09:26:16 UTC 2026","Fri May 08 09:26:29 UTC 2026","13369","","Login","","Login with wrong password returns 401 INVALID_CREDENTIALS","","Login with wrong password returns 401 INVALID_CREDENTIALS",""
"passed","Fri May 08 09:28:00 UTC 2026","Fri May 08 09:28:01 UTC 2026","121","","Mailbox Get","","Get mailbox with non-existent token returns 404 MAILBOX_NOT_FOUND","","Get mailbox with non-existent token returns 404 MAILBOX_NOT_FOUND",""
"passed","Fri May 08 09:27:55 UTC 2026","Fri May 08 09:27:56 UTC 2026","261","","Mail Send","","Send message missing required field from returns 400 VALIDATION_ERROR","","Send message missing required field from returns 400 VALIDATION_ERROR",""
"passed","Fri May 08 09:28:17 UTC 2026","Fri May 08 09:28:20 UTC 2026","2565","","Patch User","","Patch with another user token returns 401 INVALID_TOKEN","","Patch with another user token returns 401 INVALID_TOKEN",""
"passed","Fri May 08 09:27:58 UTC 2026","Fri May 08 09:27:58 UTC 2026","123","","Mailbox Create","","Create mailbox with @ in local_part returns 400 INVALID_LOCAL_PART","","Create mailbox with @ in local_part returns 400 INVALID_LOCAL_PART",""
"passed","Fri May 08 09:24:24 UTC 2026","Fri May 08 09:24:26 UTC 2026","2215","","Create User","","Create user with password shorter than 8 chars returns 400 VALIDATION_ERROR","","Create user with password shorter than 8 chars returns 400 VALIDATION_ERROR",""
"passed","Fri May 08 09:25:00 UTC 2026","Fri May 08 09:25:02 UTC 2026","2305","","Get User","","Get user by ID returns 200 with expected fields","","Get user by ID returns 200 with expected fields",""
"passed","Fri May 08 09:27:52 UTC 2026","Fri May 08 09:27:52 UTC 2026","251","","Mail Messages","","Get messages for new mailbox returns 200 with count 0","","Get messages for new mailbox returns 200 with count 0",""
"passed","Fri May 08 09:27:49 UTC 2026","Fri May 08 09:27:49 UTC 2026","490","","Logout","","Logout revoked token — PATCH returns 401","","Logout revoked token — PATCH returns 401",""
"passed","Fri May 08 09:28:10 UTC 2026","Fri May 08 09:28:12 UTC 2026","2477","","Patch User","","Patch only username returns 200","","Patch only username returns 200",""
"passed","Fri May 08 09:27:53 UTC 2026","Fri May 08 09:27:53 UTC 2026","387","","Mail Messages","","Get message by ID returns 200 with full body and html_body","","Get message by ID returns 200 with full body and html_body",""
"passed","Fri May 08 09:28:00 UTC 2026","Fri May 08 09:28:00 UTC 2026","390","","Mailbox Delete","","Delete mailbox twice — second returns 404 MAILBOX_NOT_FOUND","","Delete mailbox twice — second returns 404 MAILBOX_NOT_FOUND",""
"passed","Fri May 08 09:24:41 UTC 2026","Fri May 08 09:24:44 UTC 2026","2211","","Create User","","Create user with bio longer than 500 chars returns 400 VALIDATION_ERROR","","Create user with bio longer than 500 chars returns 400 VALIDATION_ERROR",""
"passed","Fri May 08 09:28:34 UTC 2026","Fri May 08 09:28:37 UTC 2026","2401","","Update User","","PUT update with invalid email returns 400 VALIDATION_ERROR","","PUT update with invalid email returns 400 VALIDATION_ERROR",""
