"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat May 09 09:29:01 UTC 2026","Sat May 09 09:29:02 UTC 2026","402","","Mail Send","","Send message without html_body returns 201","","Send message without html_body returns 201",""
"passed","Sat May 09 09:29:49 UTC 2026","Sat May 09 09:29:52 UTC 2026","2655","","Update User","","PUT update after logout returns 401 INVALID_TOKEN","","PUT update after logout returns 401 INVALID_TOKEN",""
"passed","Sat May 09 09:26:16 UTC 2026","Sat May 09 09:26:18 UTC 2026","2210","","List Users","","Get users list with per_page 10 returns at most 10 results","","Get users list with per_page 10 returns at most 10 results",""
"passed","Sat May 09 09:24:32 UTC 2026","Sat May 09 09:24:34 UTC 2026","2273","","Create User","","Create user with username shorter than 3 chars returns 400 VALIDATION_ERROR","","Create user with username shorter than 3 chars returns 400 VALIDATION_ERROR",""
"passed","Sat May 09 09:26:04 UTC 2026","Sat May 09 09:26:06 UTC 2026","2215","","Get User","","Get user by non-existent ID returns 404 USER_NOT_FOUND","","Get user by non-existent ID returns 404 USER_NOT_FOUND",""
"passed","Sat May 09 09:23:50 UTC 2026","Sat May 09 09:23:53 UTC 2026","2304","","Create User","","Create user with empty interests array returns 201","","Create user with empty interests array returns 201",""
"passed","Sat May 09 09:29:03 UTC 2026","Sat May 09 09:29:04 UTC 2026","402","","Mail Send","","Send message missing required field subject returns 400 VALIDATION_ERROR","","Send message missing required field subject returns 400 VALIDATION_ERROR",""
"passed","Sat May 09 09:29:04 UTC 2026","Sat May 09 09:29:04 UTC 2026","203","","Mailbox Create","","Create mailbox with empty body returns 201 with all required fields","","Create mailbox with empty body returns 201 with all required fields",""
"passed","Sat May 09 09:25:54 UTC 2026","Sat May 09 09:25:56 UTC 2026","2463","","Delete User","","Delete non-existent user with another user token returns 401 INVALID_TOKEN","","Delete non-existent user with another user token returns 401 INVALID_TOKEN",""
"passed","Sat May 09 09:29:11 UTC 2026","Sat May 09 09:29:12 UTC 2026","204","","Mailbox Get","","Get mailbox with malformed token returns 404 MAILBOX_NOT_FOUND","","Get mailbox with malformed token returns 404 MAILBOX_NOT_FOUND",""
"passed","Sat May 09 09:29:00 UTC 2026","Sat May 09 09:29:00 UTC 2026","203","","Mail Messages","","Get message with non-existent mailbox token returns 404 MAILBOX_NOT_FOUND","","Get message with non-existent mailbox token returns 404 MAILBOX_NOT_FOUND",""
"passed","Sat May 09 09:29:41 UTC 2026","Sat May 09 09:29:44 UTC 2026","2728","","Update User","","PUT update with another user token returns 401 INVALID_TOKEN","","PUT update with another user token returns 401 INVALID_TOKEN",""
"passed","Sat May 09 09:24:25 UTC 2026","Sat May 09 09:24:27 UTC 2026","2538","","Create User","","Create user with duplicate username returns 409 DUPLICATE_USER","","Create user with duplicate username returns 409 DUPLICATE_USER",""
"passed","Sat May 09 09:29:12 UTC 2026","Sat May 09 09:29:14 UTC 2026","2193","","Options","","OPTIONS returns 204","","OPTIONS returns 204",""
