"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu May 07 10:30:12 UTC 2026","Thu May 07 10:30:14 UTC 2026","2604","","Delete User","","Delete same user twice — second delete returns 404","","Delete same user twice — second delete returns 404",""
"passed","Thu May 07 10:33:46 UTC 2026","Thu May 07 10:33:48 UTC 2026","2630","","Update User","","PUT update persists changed email in subsequent GET","","PUT update persists changed email in subsequent GET",""
"passed","Thu May 07 10:33:08 UTC 2026","Thu May 07 10:33:08 UTC 2026","706","","Logout","","User can re-login after logout and receives new valid token","","User can re-login after logout and receives new valid token",""
"passed","Thu May 07 10:34:12 UTC 2026","Thu May 07 10:34:15 UTC 2026","2633","","User Exists","","After delete user exists returns false","","After delete user exists returns false",""
"passed","Thu May 07 10:33:21 UTC 2026","Thu May 07 10:33:21 UTC 2026","366","","Mailbox Get","","Get mailbox by token returns 200 with all expected fields","","Get mailbox by token returns 200 with all expected fields",""
"passed","Thu May 07 10:33:17 UTC 2026","Thu May 07 10:33:17 UTC 2026","388","","Mailbox Create","","Create duplicate mailbox local_part and domain returns 409 ADDRESS_TAKEN","","Create duplicate mailbox local_part and domain returns 409 ADDRESS_TAKEN",""
"passed","Thu May 07 10:30:19 UTC 2026","Thu May 07 10:30:21 UTC 2026","2204","","Get User","","Get user with malformed ID returns 404 USER_NOT_FOUND","","Get user with malformed ID returns 404 USER_NOT_FOUND",""
"passed","Thu May 07 10:33:06 UTC 2026","Thu May 07 10:33:07 UTC 2026","722","","Logout","","Logout revoked token — DELETE also returns 401","","Logout revoked token — DELETE also returns 401",""
"passed","Thu May 07 10:33:16 UTC 2026","Thu May 07 10:33:16 UTC 2026","159","","Mailbox Create","","Create mailbox with valid domain returns 201","","Create mailbox with valid domain returns 201",""
"passed","Thu May 07 10:29:54 UTC 2026","Thu May 07 10:29:57 UTC 2026","2214","","Create User","","Create user with bio longer than 500 chars returns 400 VALIDATION_ERROR","","Create user with bio longer than 500 chars returns 400 VALIDATION_ERROR",""
"passed","Thu May 07 10:29:11 UTC 2026","Thu May 07 10:29:13 UTC 2026","2231","","Create User","","Create user with valid employment status returns 201","","Create user with valid employment status returns 201",""
"passed","Thu May 07 10:33:18 UTC 2026","Thu May 07 10:33:18 UTC 2026","198","","Mailbox Create","","Create mailbox with @ in local_part returns 400 INVALID_LOCAL_PART","","Create mailbox with @ in local_part returns 400 INVALID_LOCAL_PART",""
"passed","Thu May 07 10:33:10 UTC 2026","Thu May 07 10:33:10 UTC 2026","198","","Mail Messages","","Get messages for non-existent mailbox returns 404 MAILBOX_NOT_FOUND","","Get messages for non-existent mailbox returns 404 MAILBOX_NOT_FOUND",""
"passed","Thu May 07 10:34:01 UTC 2026","Thu May 07 10:34:03 UTC 2026","2400","","User Exists","","HEAD existing user returns 200 with X-User-Exists true","","HEAD existing user returns 200 with X-User-Exists true",""
"passed","Thu May 07 10:30:30 UTC 2026","Thu May 07 10:30:33 UTC 2026","2202","","List Users","","Get users list with per_page 100 returns 200","","Get users list with per_page 100 returns 200",""
"passed","Thu May 07 10:30:33 UTC 2026","Thu May 07 10:30:35 UTC 2026","2154","","List Users","","Users list response does not contain access_token or password","","Users list response does not contain access_token or password",""
"passed","Thu May 07 10:30:37 UTC 2026","Thu May 07 10:30:50 UTC 2026","13501","","Login","","Login with valid credentials returns 200 and token","","Login with valid credentials returns 200 and token",""
"passed","Thu May 07 10:33:05 UTC 2026","Thu May 07 10:33:06 UTC 2026","629","","Logout","","Logout revoked token — PUT also returns 401","","Logout revoked token — PUT also returns 401",""
"passed","Thu May 07 10:33:17 UTC 2026","Thu May 07 10:33:17 UTC 2026","151","","Mailbox Create","","Create mailbox with invalid domain returns 400 INVALID_DOMAIN","","Create mailbox with invalid domain returns 400 INVALID_DOMAIN",""
"passed","Thu May 07 10:33:11 UTC 2026","Thu May 07 10:33:11 UTC 2026","191","","Mail Messages","","Get message with non-existent mailbox token returns 404 MAILBOX_NOT_FOUND","","Get message with non-existent mailbox token returns 404 MAILBOX_NOT_FOUND",""
"passed","Thu May 07 10:29:02 UTC 2026","Thu May 07 10:29:04 UTC 2026","2269","","Create User","","Create user with valid gender enum returns 201","","Create user with valid gender enum returns 201",""
"passed","Thu May 07 10:33:08 UTC 2026","Thu May 07 10:33:09 UTC 2026","369","","Mail Messages","","Get messages for new mailbox returns 200 with count 0","","Get messages for new mailbox returns 200 with count 0",""
"passed","Thu May 07 10:33:14 UTC 2026","Thu May 07 10:33:15 UTC 2026","369","","Mail Send","","Send message missing required field subject returns 400 VALIDATION_ERROR","","Send message missing required field subject returns 400 VALIDATION_ERROR",""
"passed","Thu May 07 10:29:20 UTC 2026","Thu May 07 10:29:22 UTC 2026","2237","","Create User","","Create user with valid employment status returns 201","","Create user with valid employment status returns 201",""
"passed","Thu May 07 10:34:03 UTC 2026","Thu May 07 10:34:05 UTC 2026","2168","","User Exists","","HEAD non-existent user returns 404 with X-User-Exists false","","HEAD non-existent user returns 404 with X-User-Exists false",""
