"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon May 04 10:12:59 UTC 2026","Mon May 04 10:13:02 UTC 2026","2424","","POST /api/v1/users/create","","Response body never contains password field","","Response body never contains password field",""
"passed","Mon May 04 10:13:22 UTC 2026","Mon May 04 10:13:24 UTC 2026","2196","","POST /api/v1/users/create","","Create user with valid gender enum returns 201","","Create user with valid gender enum returns 201",""
"passed","Mon May 04 10:17:40 UTC 2026","Mon May 04 10:17:40 UTC 2026","131","","Mail API — /api/v1/mail/*","","Send message to non-existent mailbox returns 404 MAILBOX_NOT_FOUND","","Send message to non-existent mailbox returns 404 MAILBOX_NOT_FOUND",""
"passed","Mon May 04 10:17:37 UTC 2026","Mon May 04 10:17:38 UTC 2026","284","","Mail API — /api/v1/mail/*","","Send message returns 201 with full message object","","Send message returns 201 with full message object",""
"passed","Mon May 04 10:14:42 UTC 2026","Mon May 04 10:14:44 UTC 2026","2141","","GET /api/v1/users/list","","Get users list with per_page 100 returns 200","","Get users list with per_page 100 returns 200",""
"passed","Mon May 04 10:17:42 UTC 2026","Mon May 04 10:17:42 UTC 2026","127","","OPTIONS /api/v1/users/options","","OPTIONS returns 204","","OPTIONS returns 204",""
"passed","Mon May 04 10:17:56 UTC 2026","Mon May 04 10:17:59 UTC 2026","2483","","PATCH /api/v1/users/patch/:id","","Patch after logout returns 401 INVALID_TOKEN","","Patch after logout returns 401 INVALID_TOKEN",""
"passed","Mon May 04 10:13:31 UTC 2026","Mon May 04 10:13:33 UTC 2026","2219","","POST /api/v1/users/create","","Create user with valid employment status returns 201","","Create user with valid employment status returns 201",""
"passed","Mon May 04 10:14:02 UTC 2026","Mon May 04 10:14:05 UTC 2026","2231","","POST /api/v1/users/create","","Create user with invalid employment status enum returns 400 VALIDATION_ERROR","","Create user with invalid employment status enum returns 400 VALIDATION_ERROR",""
"passed","Mon May 04 10:17:32 UTC 2026","Mon May 04 10:17:32 UTC 2026","132","","Mail API — /api/v1/mail/*","","Create mailbox with custom local_part returns 201 with matching email","","Create mailbox with custom local_part returns 201 with matching email",""
"passed","Mon May 04 10:17:27 UTC 2026","Mon May 04 10:17:29 UTC 2026","2355","","POST /api/v1/users/logout/:id","","Logout with no auth header returns 401 MISSING_TOKEN","","Logout with no auth header returns 401 MISSING_TOKEN",""
